Sample,; R (610nm); S (680nm); T (730nm); U (760nm); V (810nm); W (860nm); G (560nm); H (585nm); I (645nm); J (705nm); K (900nm); L (940nm); A (410nm); B (435nm); C (460nm); D (485nm); E (510nm); F (535nm); Cal. R (610nm); Cal. S (680nm); Cal. T (730nm); Cal. U (760nm); Cal. V (810nm); Cal. W (860nm); Cal. G (560nm); Cal. H (585nm); Cal. I (645nm); Cal. J (705nm); Cal. K (900nm); Cal. L (940nm); Cal. A (410nm); Cal. B (435nm); Cal. C (460nm); Cal. D (485nm); Cal. E (510nm); Cal. F (535nm); Int Time; Gain; Temp AS72651; Temp AS72652; Temp AS72653; Timestamp
1; 29; 78; 149; 28; 12; 20; 35; 36; 99; 95; 20; 8; 4; 17; 45; 25; 42; 45; 42.3; 83.1; 170.6; 27.9; 12.5; 24.2; 17.5; 16.7; 39.4; 38.2; 11.7; 7.3; 3.8; 16.4; 40.6; 23.3; 33.4; 31.4; 59; 1; 28; 29; 29; 20210712214654
2; 29; 78; 149; 28; 12; 20; 35; 36; 99; 95; 20; 8; 4; 17; 45; 25; 43; 45; 42.3; 83.1; 170.6; 27.9; 12.5; 24.2; 17.5; 16.7; 39.4; 38.2; 11.7; 7.3; 3.8; 16.4; 40.6; 23.3; 33.4; 31.4; 59; 1; 28; 29; 28; 20210712214656
3; 29; 77; 147; 27; 12; 20; 35; 36; 99; 95; 20; 8; 4; 17; 45; 25; 42; 45; 42.3; 83.1; 170.6; 27.9; 12.5; 24.2; 17.5; 16.7; 39.4; 38.2; 11.7; 7.3; 3.8; 16.4; 40.6; 23.3; 34.2; 31.4; 59; 1; 28; 29; 28; 20210712214656
4; 29; 77; 147; 28; 12; 20; 35; 36; 99; 95; 20; 8; 4; 17; 45; 25; 42; 45; 42.3; 82.1; 169.5; 27.9; 12.5; 24.2; 17.5; 16.7; 39.4; 38.2; 11.7; 7.3; 3.8; 16.4; 40.6; 23.3; 33.4; 31.4; 59; 1; 28; 29; 28; 20210712214657
5; 29; 78; 147; 28; 12; 20; 35; 36; 99; 94; 20; 8; 4; 17; 45; 25; 42; 45; 42.3; 82.1; 168.4; 27.9; 12.5; 24.2; 17.5; 16.7; 39.4; 37.8; 11.7; 7.3; 3.8; 16.4; 40.6; 23.3; 33.4; 31.4; 59; 1; 28; 29; 28; 20210712214657
6; 29; 78; 148; 28; 12; 20; 35; 36; 99; 94; 20; 8; 4; 17; 45; 25; 42; 45; 42.3; 83.1; 169.5; 27.9; 12.5; 24.2; 17.5; 16.7; 39.4; 37.8; 11.7; 7.3; 3.8; 16.4; 40.6; 23.3; 33.4; 31.4; 59; 1; 28; 29; 28; 20210712214658
7; 29; 78; 148; 28; 12; 20; 35; 36; 99; 95; 20; 8; 4; 17; 45; 25; 42; 45; 42.3; 83.1; 169.5; 27.9; 12.5; 24.2; 17.5; 16.7; 39.4; 38.2; 11.7; 7.3; 3.8; 16.4; 40.6; 23.3; 33.4; 31.4; 59; 1; 28; 29; 28; 20210712214658
8; 29; 78; 148; 28; 12; 20; 35; 36; 99; 95; 20; 8; 4; 17; 45; 25; 43; 45; 42.3; 83.1; 168.4; 27.9; 12.5; 24.2; 17.5; 16.7; 39.4; 37.8; 11.7; 7.3; 3.8; 16.4; 40.6; 23.3; 34.2; 31.4; 59; 1; 28; 29; 28; 20210712214659
9; 29; 78; 148; 28; 12; 20; 35; 36; 99; 94; 20; 8; 4; 17; 45; 25; 43; 45; 42.3; 83.1; 169.5; 27.9; 12.5; 24.2; 17.5; 16.7; 39.4; 38.2; 11.7; 7.3; 3.8; 16.4; 40.6; 23.3; 34.2; 31.4; 59; 1; 28; 29; 29; 20210712214659
10; 29; 78; 148; 28; 12; 20; 35; 36; 99; 94; 20; 8; 4; 17; 45; 25; 42; 45; 42.3; 83.1; 169.5; 27.9; 12.5; 24.2; 17.5; 16.7; 39.4; 37.8; 11.7; 7.3; 3.8; 16.4; 40.6; 23.3; 33.4; 31.4; 59; 1; 28; 29; 29; 20210712214659
