Sample,; R (610nm); S (680nm); T (730nm); U (760nm); V (810nm); W (860nm); G (560nm); H (585nm); I (645nm); J (705nm); K (900nm); L (940nm); A (410nm); B (435nm); C (460nm); D (485nm); E (510nm); F (535nm); Cal. R (610nm); Cal. S (680nm); Cal. T (730nm); Cal. U (760nm); Cal. V (810nm); Cal. W (860nm); Cal. G (560nm); Cal. H (585nm); Cal. I (645nm); Cal. J (705nm); Cal. K (900nm); Cal. L (940nm); Cal. A (410nm); Cal. B (435nm); Cal. C (460nm); Cal. D (485nm); Cal. E (510nm); Cal. F (535nm); Int Time; Gain; Temp AS72651; Temp AS72652; Temp AS72653; Timestamp
37; 6; 21; 50; 10; 4; 8; 5; 6; 20; 27; 8; 3; 1; 2; 5; 3; 4; 5; 8.7; 22.4; 57.3; 10.0; 4.2; 9.7; 2.5; 2.8; 8.0; 10.9; 4.7; 2.7; 1.0; 1.9; 4.5; 2.8; 3.2; 3.5; 59; 1; 28; 29; 29; 20210428212130
38; 5; 21; 51; 10; 4; 8; 5; 6; 20; 27; 8; 3; 1; 2; 5; 3; 4; 5; 8.7; 22.4; 58.4; 10.0; 4.2; 9.7; 2.5; 2.8; 8.0; 10.9; 4.7; 2.7; 1.0; 1.9; 4.5; 2.8; 3.2; 3.5; 59; 1; 27; 29; 28; 20210428212130
39; 5; 21; 51; 10; 4; 8; 5; 6; 20; 27; 8; 3; 1; 2; 5; 2; 4; 5; 7.3; 22.4; 58.4; 10.0; 4.2; 9.7; 2.5; 2.8; 8.0; 10.9; 4.7; 2.7; 1.0; 1.9; 4.5; 2.8; 3.2; 3.5; 59; 1; 28; 29; 28; 20210428212131
40; 5; 21; 51; 10; 4; 8; 5; 6; 20; 27; 9; 3; 1; 2; 5; 2; 4; 5; 7.3; 22.4; 58.4; 10.0; 4.2; 9.7; 2.5; 2.8; 8.0; 10.9; 5.3; 2.7; 1.0; 1.9; 4.5; 1.9; 3.2; 3.5; 59; 1; 28; 29; 28; 20210428212131
41; 5; 21; 52; 10; 4; 8; 5; 6; 20; 27; 9; 3; 1; 2; 5; 2; 4; 5; 7.3; 22.4; 58.4; 10.0; 4.2; 9.7; 2.5; 2.8; 8.0; 10.9; 5.3; 2.7; 1.0; 1.9; 4.5; 1.9; 3.2; 3.5; 59; 1; 27; 29; 29; 20210428212131
42; 5; 21; 51; 10; 4; 8; 5; 6; 20; 27; 9; 3; 1; 2; 5; 2; 4; 6; 7.3; 22.4; 58.4; 10.0; 4.2; 9.7; 2.5; 2.8; 8.0; 10.9; 5.3; 2.7; 1.0; 1.9; 4.5; 1.9; 3.2; 3.5; 59; 1; 28; 29; 29; 20210428212132
43; 5; 21; 51; 10; 4; 8; 5; 6; 20; 27; 9; 3; 1; 2; 5; 2; 4; 6; 7.3; 22.4; 58.4; 10.0; 4.2; 9.7; 2.5; 2.8; 8.0; 10.9; 5.3; 2.7; 1.0; 1.9; 4.5; 1.9; 3.2; 4.2; 59; 1; 28; 29; 28; 20210428212132
44; 5; 21; 51; 10; 4; 8; 5; 6; 20; 27; 9; 3; 1; 2; 5; 2; 4; 6; 7.3; 22.4; 58.4; 10.0; 4.2; 9.7; 2.5; 2.8; 8.0; 10.9; 5.3; 2.7; 1.0; 1.9; 4.5; 1.9; 3.2; 4.2; 59; 1; 28; 29; 28; 20210428212133
45; 5; 22; 51; 10; 4; 8; 5; 6; 21; 27; 9; 3; 1; 2; 5; 3; 4; 6; 7.3; 23.4; 58.4; 10.0; 4.2; 9.7; 2.5; 2.8; 8.4; 10.9; 5.3; 2.7; 1.0; 1.9; 4.5; 1.9; 3.2; 4.2; 59; 1; 28; 29; 28; 20210428212133
46; 5; 22; 50; 10; 4; 8; 5; 6; 21; 27; 9; 3; 1; 2; 5; 3; 4; 6; 7.3; 23.4; 58.4; 10.0; 4.2; 9.7; 2.5; 2.8; 8.4; 10.9; 5.3; 2.7; 1.0; 1.9; 4.5; 2.8; 3.2; 4.2; 59; 1; 28; 29; 28; 20210428212133
47; 5; 22; 50; 10; 4; 8; 5; 6; 21; 27; 9; 3; 1; 2; 5; 3; 4; 6; 7.3; 23.4; 57.3; 10.0; 4.2; 9.7; 2.5; 2.8; 8.4; 10.9; 5.3; 2.7; 1.0; 1.9; 4.5; 2.8; 3.2; 4.2; 59; 1; 28; 29; 28; 20210428212134
48; 5; 22; 50; 10; 4; 8; 5; 6; 21; 27; 9; 3; 1; 2; 5; 3; 4; 6; 7.3; 23.4; 57.3; 10.0; 4.2; 9.7; 2.5; 2.8; 8.4; 10.9; 5.3; 2.7; 1.0; 1.9; 4.5; 2.8; 3.2; 4.2; 59; 1; 28; 29; 28; 20210428212134
49; 5; 22; 50; 10; 4; 8; 5; 6; 21; 27; 9; 3; 1; 2; 5; 3; 4; 6; 7.3; 23.4; 57.3; 10.0; 4.2; 9.7; 2.5; 2.8; 8.4; 10.9; 5.3; 2.7; 1.0; 1.9; 4.5; 2.8; 3.2; 4.2; 59; 1; 28; 29; 28; 20210428212135
50; 5; 22; 50; 10; 4; 8; 5; 6; 21; 27; 9; 3; 1; 2; 5; 3; 4; 6; 7.3; 23.4; 57.3; 10.0; 4.2; 9.7; 2.5; 2.8; 8.4; 10.9; 5.3; 2.7; 1.0; 1.9; 4.5; 2.8; 3.2; 4.2; 59; 1; 28; 29; 28; 20210428212135
51; 5; 22; 50; 10; 4; 8; 5; 6; 21; 27; 9; 3; 1; 2; 5; 3; 4; 6; 7.3; 23.4; 57.3; 10.0; 4.2; 9.7; 2.5; 2.8; 8.4; 10.9; 5.3; 2.7; 1.0; 1.9; 4.5; 2.8; 3.2; 4.2; 59; 1; 27; 29; 28; 20210428212135
52; 5; 22; 50; 10; 4; 8; 5; 6; 21; 27; 9; 3; 1; 2; 5; 3; 4; 6; 7.3; 23.4; 57.3; 10.0; 4.2; 9.7; 2.5; 2.8; 8.4; 10.9; 5.3; 2.7; 1.0; 1.9; 4.5; 2.8; 3.2; 4.2; 59; 1; 28; 29; 28; 20210428212136
53; 5; 22; 50; 10; 4; 8; 5; 6; 21; 27; 9; 3; 1; 2; 5; 3; 4; 6; 7.3; 23.4; 57.3; 10.0; 4.2; 9.7; 2.5; 2.8; 8.4; 10.9; 5.3; 2.7; 1.0; 1.9; 4.5; 2.8; 3.2; 4.2; 59; 1; 27; 29; 28; 20210428212136
54; 5; 22; 50; 10; 4; 8; 5; 6; 21; 27; 9; 3; 1; 2; 5; 3; 4; 6; 7.3; 23.4; 57.3; 10.0; 4.2; 9.7; 2.5; 2.8; 8.4; 10.9; 5.3; 2.7; 1.0; 1.9; 4.5; 2.8; 3.2; 4.2; 59; 1; 27; 29; 28; 20210428212137
55; 5; 22; 50; 10; 4; 8; 5; 6; 21; 27; 9; 3; 1; 2; 5; 3; 4; 6; 7.3; 23.4; 57.3; 10.0; 4.2; 9.7; 2.5; 2.8; 8.4; 10.9; 5.3; 2.7; 1.0; 1.9; 4.5; 2.8; 3.2; 4.2; 59; 1; 27; 29; 28; 20210428212137
56; 5; 22; 50; 10; 4; 8; 5; 6; 21; 27; 9; 3; 1; 2; 5; 3; 4; 6; 7.3; 23.4; 57.3; 10.0; 4.2; 9.7; 2.5; 2.8; 8.4; 10.9; 5.3; 2.7; 1.0; 1.9; 4.5; 2.8; 3.2; 4.2; 59; 1; 27; 29; 29; 20210428212138
57; 5; 22; 49; 10; 4; 8; 5; 6; 21; 27; 9; 3; 1; 2; 5; 3; 4; 6; 7.3; 23.4; 56.1; 10.0; 4.2; 9.7; 2.5; 2.8; 8.4; 10.9; 5.3; 2.7; 1.0; 1.9; 4.5; 2.8; 3.2; 4.2; 59; 1; 27; 29; 28; 20210428212138
58; 5; 22; 49; 10; 4; 8; 5; 6; 21; 27; 9; 3; 1; 2; 5; 3; 4; 6; 7.3; 23.4; 56.1; 10.0; 4.2; 9.7; 2.5; 2.8; 8.4; 10.9; 5.3; 2.7; 1.0; 1.9; 4.5; 2.8; 3.2; 4.2; 59; 1; 27; 29; 28; 20210428212138
59; 5; 22; 48; 10; 4; 8; 5; 6; 21; 27; 8; 3; 1; 2; 5; 3; 4; 6; 7.3; 23.4; 55.0; 10.0; 4.2; 9.7; 2.5; 2.8; 8.4; 10.9; 5.3; 2.7; 1.0; 1.9; 4.5; 2.8; 3.2; 4.2; 59; 1; 28; 29; 28; 20210428212139
